Id;Author;Title;Publisher;Year;Pages;Storage;Notes;CottageNumber
763;Пашуто В.Т., Корецкий В.И., Преображенский А.А. и др.;Москва: Иллюстрированная история. В 2-х т. Т. 1. С древнейших времен до 1917 г.;М.;1985;478;12;ил., карт.;
764;Поляков Ю.А., Полетаев В.Е., Самсонов А.М., Корнаковский И.Л.;Москва: Иллюстрированная история. В 2-х т. Т. 2. С 1917 г. до наших дней.;М.;1986;478;12;ил., карт.;
765;Колчин Б.А., Янин В.Л., Ямщиков С.В.;Древний Новгород. Прикладное искусство и археология.;М.;1985;168;12;ил.;
766;Иванов А.А., Луконин В.Г., Смесова Л.С.;Ювелирные изделия Востока. Древний, средневевековый периоды.;М.;1984;216;12;ил.;
767;Авт.-сост. Ненарокомова И.С., Сизов Е.С.;Художественные сокровища Государственных музеев Московского Кремля. Альбом.;М.;1975;184;12;ил.;
768;Николаева Т.В.;Древнерусская мелкая пластика из камня. XI - XV вв.;М.;1983;161;12;66 табл.;
769;Сост. Высоцкая Н.Ф., Карпович Т.А.;Живопись Белоруссии XII - XVIII вв.;Мн.;1980;316;12;ил.;
770;Пугаченкова Г.А.;Искусство Гандхары.;М.;1982;196;12;ил.;
771;Дурасов Г.П.;Каргополье. Художественные сокровища. Альбом.;М.;1984;208;12;ил.;
772;Елена Флорева.;Старата църква в Добърско.;София;1981;224;12;ил.;
773;;Сокровища Кипра. Древнее искусство. Искусство средних веков.;М.;1976;46;12;42 л.+ XXII л. ил.;
774;Дементьев В.В.;Свет малой родины. Отчина и дедина.;М.;2008;528;12;ил.;
775;;Андрей Рублев во Владимире. Проспект.;Владимир;2005;16;12;ил.;
776;;Свято-Боголюбский монастырь.;Владимир;2006;140;12;ил.;
777;Верещагин В.В.;Скобелев. Русско-турецкая война 1877 - 1878 гг. в воспоминаниях В.В.Верещагина.;М.;2007;496;12;;
778;Шангина И.И.;Русские девушки.;Спб.;2008;352;12;ил.;
779;;Переславский Никитский мужской монастырь. Прошлое и настоящее.;М.;2008;48;12;ил.;
780;;Свято-Успенский Княгинин женский монастырь во Владимире. 15-летию возрождения обители посвящается.;М.;2008;96;12;ил.;
781;Ермакова Н.Н.;Древний, многоликий православный Переславль. Издание 2-е, доп. и испав.;Переславль-Залесский;2009;58;12;ил.;
782;Вахрина В.И.;Иконы Ростова Великого.;М.;2006;448;12;ил.;
783;;Суздаль. Государственный Владимиро-Суздальский историко-архитектурный и художественный музей-заповедник. Изд. 2-е.;Владимир;2008;80;12;ил.;
784;;Владимир. Владимиро-Суздальский музей-заповедник.;Владимир;2008;80;12;ил.;
785;;Заповедники СССР: Заповедники Украины и Молдавии.;М.;1987;272;12;ил., карт.;
786;Брюсова В.Г.;Фрески Ярославля XVII - начала XVIII века.;М.;1969;148;12;ил.;
787;Толстая Т.В.;Успенский собор Московского Кремля.;М.;1979;184;12;ил.;
788;Геза Фехер;Турецкие миниатюры времен покорения Венгоии.;Будапешт;1980;24;12;табл. LI;
789;Авт. вст. ст. и сост. Альбома Бондарь И.В.;Древнее золото. Из собрания Музея исторических драгоценностей УССР.;М.;1975;;12;ил.;
790;Постникова-Лосева М.М., Платонова Н.Г., Ульянова Б.Л.;Золтое и серебряное дело XV - XX вв. Территория СССР.;М.;1983;376;12;ил.;
791;Шакурова Е.В., Костина И.Д., Коварская С.Я.;Русское серебро XIV - начала  XX века из фондов Государственных музеев Московского Кремля. Альбом.;М.;1984;250;12;ил.;
792;;Повесть о Куликовской битве. Текст и миниатюры лицевого свода XVI века;Л.;1984;392;12;ил.;
793;;Живопись Древнего Пскова XIII - XVI века.;М.;1971;;12;ил. (альбом).;
794;Людмила Живкова.;Казанлыкская гробница.;М.;1976;80;12;ил.;
795;Овчинникова Е.С.;Церковь Троицы в Никитниках. Памятник живописи и зодчества XVII века.;М.;1970;196;12;ил.;
796;Янош Вег;Немецкая станковая живопись XVI века.;Будапешт;1984;36;12;48 л. ил.;
797;Viktor N. Lazarev;Theophanes der Grieche und seine schule.;Dresden;1968;286;12;ill.;
798;Готье Т.;Путешествие в Россию. Пер. с франц.;М.;1988;396;12;ил.;
799;Менделеев Д.И.;Познание России. Заветные мысли.;М.;2008;688;12;ил.;
800;Анна Эрши;Живопись иинтернациональной готики.;Будапешт;1986;48;12;48 илл.;
801;Сост. Егоров В.Л., Максакова Л.В.;Памятники истории России.;М.;1987;152;12;ил.;
802;Пиотровский Б.Б.;Страницы моей жизни.;Спб.;1995;288;12;ил.;
803;Кривоносов В.Т.;"Музей-заповедник ""Ростовский Кремль"". Изд. 3-е.";М.;2007;176;12;ил.;
804;Дамаскин И.А.;Богини разведки и шпионажа.;М.;2006;416;12;ил.;
805;Никитин В.Ф.;Казачество: Нация или сословие?;М.;2007;640;12;;
806;Маннергейм К.Г.;Мемуары.;М.;2003;576;12;ил.;
807;Авт.-сост. Лапина Е.Н.;Загородный участок в Сибири: Фантазии и реальность.;Новосибирск;1996;208;12;;
808;Николаева Н.С.;Япония - Европа. Диалог в искусстве. Середина XVI - начало XX века.;М.;1996;400;12;ил.;
809;Шкаруба Л.М.;Основы иконоведения: богословие в красках.;Новосибирск.;2008;704;12;ил.;
810;Трофимова Н.Н.;Русское прикладное искусство XIII - начала XX в. Из собрания государственного обьединенного Владимирско-Суздальского музея-заповедника. Альбом.;М.;1982;280;12;ил.;
811;Мухин И.А.;Фотоохота. - 2-е изд., доп. и перераб.;М.;1985;288;12;ил.;
812;Лавров И.;Мои бессонные ночи. Роман-воспоминание.;Новосибирск.;1977;688;13;;
813;;Краткий философский словарь;М.;1954;704;13;;
814;;Приключения Одиссея.;Новосибирск;1974;136;13;;
815;Достоевский Ф.М.;Униженные и оскорбленные. Роман.;М.;1955;384;13;;
816;Сост. Чешкова Л.А., Галенко В.И.;Полярный круг.;М.;1988;538;13;ил., карт.;
817;;Личное мнение. Вып. 2: Очерки, стихи.;М.;1990;576;13;;
818;Лагутина Л.А.;Пельмени и вареники.;Ростов н/Д.;1996;192;13;;
819;Наместников А.Ф.;Консервирование плодов и овощей в домашних усолвиях.;М.;1968;256;13;;
820;Курдюмов Н.И.;Умный сад в подробностях: Садовая успехология для дачников и дачниц.;Краснодар;1999;272;13;ил.;
821;Овсянникова И.А., Целищева Э.П., Грайфер Д.М., ЛарионоваГ.Я.;В Сибири - всегда с овощами: Практическое руководство для огородника. Изд. 3-е, испрвл. и доп.;Новосибирск;1997;316;13;;
822;Ганичкина О.А., Ганичкин А.В.;Ваш сад.;М.;2000;124;13;;
823;Леонов И.М.;Стелющийся сад в Сибири.;Новосибирск;1970;82;13;;
824;Долгих С.Т.;Выращивание семян овощных культур на приусадебных участках.;М.;1986;68;13;ил.;
825;;Коллективное садоводство и огородничество: Сборник нормативных актов.;М.;1987;192;13;;
826;Зуев В.Ф.;Скороплодные сады и ягодники.;М.;1991;96;13;ил.;
827;Грайфер Д.М.;""" Ленивое"" земледелие: Практическое руководство для садовода-любителя.";Новосибирск;1996;96;13;;
828;Вилох Э.;Овощи всегда полезны. Пер. с нем.;М.;1974;144;13;;
829;Сост. Небольсина З.Д.;И в саду и огороде.;Спб.;1992;126;13;ил.;
830;Ганичкина О.А.;Моим дорогим огородникам.;М.;1996;286;13;;
831;Назаренко Н.Ф.;1001 вопрос, ответ и совет огороднику, овощи, картофель.;Новосибирск;2001;528;13;;
832;;Азбука садовода ( в вопросах и ответах).;М.;1968;368;13;ил.;
833;;Алтайские ягодники.;Барнаул;1969;148;13;ил.;
834;Марков Г.М.;Отец и сын. Роман в 2-х кн.;Новосибирск;1966;376;13;;
835;Сартаков С.В.;Философский камень. Роман.;Новосибирск;1976;696;13;;
836;Толстой А.Н.;Петр I. Роман . Кн. 1.;Челябинск;1972;320;13;;
837;Толстой А.Н.;Петр I. Роман. Кн. 2 - 3.;Челябинск;1973;420;13;;
838;;Писатели о себе. Новосибирск. Омск. Томск.;Новосибирск.;1973;264;13;;
839;Марков Г.М.;Сибирь. Роман в 2-х кн.;Новосибирск;1975;552;13;;
840;Гинзбург С.З.;О прошлом - для будущего.;М.;1984;320;13;ил.;
841;Безыменский Л.А.;Разгаданные загадки третьего рейха. 1933 - 1941.;М.;1981;280;13;;
842;Есенин С.А.;Лирика;Новосибирск;1977;112;13;;
843;Иойриш Н.П.;Лечебные свойства меда и пчелиного яда. 3-е изд., доп. и перераб.;М.;1956;200;13;;
844;Садыров А.Ж.;Дорогие мои. - ( Хроника Чатского городища). - Историческая повесть.;Новосибирск;1990;176;13;;
845;Садыров А.Ж.;Сибирь Святая. - Благовествование Никодиму Бальве. - Исторический роман.;Новосибирск;1993;192;13;;
846;Флеров В., Зобачев И.;Жизнь - подвиг. З. Кулинич-Присяжнюк. В. Романов.;Новосибирск;1968;100;13;;
847;Баландин Р.К.;Кто вы, рудокопы Росси?;М.;1990;48;13;;
848;Кузовкин А.С., Семенов А.Е.;Неопознанные обьекты: досужие вымыслы или реальность?;М.;1990;48;13;;
849;Дмитрук М.А.;Где искать здоровье?;М.;1991;48;13;;
850;Ворбьев И.Е.;Восточное небо.;Новосибирск;1993;32;13;Есть дарственная надпись Геннадию Васильевичу.;
851;Арлетти А.;Трампеадор. Пер. с итал.;М.;1964;144;13;ил.;
852;Итс Р.Ф.;Цветок лотоса.;М.;1962;120;13;;
853;Акимушкин И.И.;Приматы моря.;М.;1963;160;13;ил.;
854;Мурзаев Э.М.;Лев Семенович Берг ( 1876 - 1950).;М.;1983;176;13;ил.;
855;Амирханов Л.И., Лукошков А.В.;"Эскадренный броненосец ""Гангут"".";Спб.;1998;80;13;ил., карт.;
856;Голубецкий И.С.;Села, рабочие поселки и города Омской области.;Омск;1970;132;13;ил.;
857;Рузанкина Т.В.;Пчелиная школа здоровья.;Новосибирск.;2004;160;13;;
858;Пудник Ф.П.;Пошивка женской верхней одежды.;М.;1948;300;13;ил.;
859;Сост. Шмелев И.И.;Солдаты невимых сражений. Рассказы о подвигах чекистов.;М.;1968;384;13;;
860;Маклин О.;"Корабль его величества ""Улисс"". Роман. Сокращ. пер. с англ.";М.;1968;288;13;;
861;Достоевский Ф.М.;Подросток. Роман.;М.;1955;564;13;;
862;Достоевский Ф.М.;"Записки из Мертвого Дома; Рассказы.";М.;1983;416;13;;
863;Достоевский Ф.М.;Бесы. Роман в трех частях.;Новосибирск;1989;656;13;ил.;
864;Заянчковский И.Ф.;Враги наших врагов.;М.;1969;336;13;ил.;
865;Акимушкин И.И.;Куда? И как? ( Рассказы о природе).;М.;1965;264;13;12л. ил.;
866;Бунич И.Л.;"Корсары кайзера. ""Эмден"". "" Карлсруэ"". "" Кенингсберг"". "" Вольф"". "" Зееадлер"".";Спб.;1998;608;13;;
867;Бунич И.Л.;"Пираты фюрера. ""Атлантис"". "" Адмирал Шеер"". "" Шарнхорст"".";Спб.;1998;544;13;;
868;Бунич И.Л.;Второй Перл - Харбор.;Спб.;1999;512;13;;
869;Житков Б.;Что бывало;Куйбышев;1967;496;13;;
870;Виденов Б., КОВАЧЕВ Г.,Манов Ст.;700 советов садоводу-любителю.;София;1972;416;13;;
871;Беляев И.П.;С черного хода.;М.;1972;192;13;;
872;Сергуненков Б.;Мой лес.;Л.;1981;400;13;;
873;Марков Г.М.;Моя военная пора: Повести и рассказы.;М.;1986;448;13;;
874;;Словарь по этике.Изд. 3-е.;М.;1975;392;13;;
875;Тан-Богораз В.Г.;Восемь племен. Чукотские рассказы.;М.;1962;404;13;;
876;Евтушенко А.Н.;С мячом в руке.;М.;1986;224;13;ил.;
877;Твардовский А.Т.;Стихи и поэмы.;Новосибирск;1978;496;13;;
878;Уусивирта Хилкка;Финская национальная кухня. Пер. с фин.;М.;1982;72;13;;
879;Дрожжин С.;Стихотворения;Л.;1949;292;13;;
880;Мейсак Н.А.;Поговорим о жизни.;Новосибирск;1986;256;13;ил.;
881;Левин А.Ш.;Самоучитель работы на компьютере. 9-е изд.;Спб.;2007;748;13;ил.;
882;Перельман Я.И.;Занимательные науки.;М.;2007;588;13;ил.;
883;Шпинар З.В.;История жизни на Земле.;Прага;1977;228;13;ил.;
884;;Птицы СССР. Курообразные, журавлеобразные.;Л.;1987;528;13;;
885;Вернова Н., Знаменов В.;Петергоф. ( альбом).;Спб.;2007;160;13;ил.;
886;;Янтарная комната.Буклет.;Спб.;2004;;13;;
887;;Царское село. Екатерининский дворец.;Спб.;2004;32;13;ил.;
888;Некрасов С.М.;""" Под сенюю дружных муз"". Царское Село - город русской поэзии.";Спб.;2007;112;13;ил.;
889;Хорхе Луински и Мэйотт Магнус.;Книга портрет по фотографии.;М.;1991;168;13;ил.;
890;Гончаренко В.С., Нарожная В.И.;Оружейная палата.Путеводитель. №-е изд.;М.;2004;288;13;ил.;
891;;Готовим без мяса.;Кострома;2000;392;13;;
892;;Медовая кулинария.;Новосибирск;1999;224;13;;
893;;Летняя рыбалка.;М.;2001;64;13;;
894;;Медолечение;Новосибирск;1999;128;13;;
895;;Что надо знать садоводу ( Справочник).;Казань;1982;208;13;ил.;
896;Гатилов Г.В.;Карась: Техника и тактика ловли: Современные и классические методы.;М.;2002;90;13;ил.;
897;Сост. Щетников А.И.;Задачи математического кружка. Изд. 10, доп.;Новосибирск;2007;60;13;;
898;Фарков А.В.;Математические олимпиады в школе. 5 - 11 класс. - 3-е изд., испр. и доп.;М.;2004;176;13;;
899;Пшеничная Л.;Математические фокусы. Научись считать быстро.;Новосибирск;2006;88;13;;
900;Мураховский В.И.;Компьютер своими руками: Полное руководство начинающего мастера.;М.;2004;400;13;ил.;
901;Деркач О.А., Быков В.В.;Как увеличить свой IQ.;М.;2006;304;13;ил.;
902;;Зеленые удобрения лучшие помощники в борьбе за урожай.;Новосибирск;;12;13;;
903;Мишин А.;Для сада и огорода. Поделки и советы. Для начинающих овощеводов и плодоводов. Изд. 3-е.;Новосибирск;1990;96;13;;
904;Авт. - сост. Безбородова О.Г.;Календарь сибирского садовода и огородника.;Новосибирск;1990;24;13;;
905;Крылов Г.В., Козакова Н.Ф., Лагерь А.А.;Растения здоровья.;Новосибирск;1989;304;13;;
906;;Уильям Шекспир в2-х т. Т. 1. Английский текст дан в оригинале.;;;816;13;;
907;;Уильям Шекспир в 2-х т. Т. 2. Английский текст дан в оригинале.;;;814;13;;
908;Кервуд Дж.;"В дебрях Севера: Роман; Быстрая Молния: Повесть. Пер. с англ.";Спб.;1992;378;13;ил.;
909;Семёнова М.;Мы - славяне! Популярная энциклопедия.;Спб.;1999;560;13;;
910;Маранин И.;Мифосибирск. Мифы, тайны, байки и реальные истории о Новосибирске.;Новосибирск;2011;228;13;ил.;
911;Маршак М.С.;Диетические блюда. Изд. 2-е.;М.;1959;136;13;;
912;Ковалев Н.И., Осипов Н.И.;Овощные и крупяные блюда.;М.;1960;128;13;;
913;Сидоров В.А.;Первичная обработка и заготовка продуктов впрок.;М.;1960;120;13;;
914;Ануфриев В., Кириллова Г., Кикнадзе Н.;Соусы. Специи.;М.;1959;162;13;;
915;Ананьев А.А.;Супы.;М.;1959;160;13;;
916;Бурдун Г.Д.;Единицы физических величин.Изд. 4-е, доп.;М.;1967;216;13;;
917;;Секреты раздельного питания.;Мн.;1998;320;13;;
918;Фатьянов В.И.;Ваш сад.;М.;1997;256;13;;
919;Питенев И.В.;Лесная кухня.;Новосибирск;1989;152;13;;
920;Гольдман В.Б.;Приспособления по уходу за садом и огородом.;М.;1982;96;13;;
921;Лихонос Ф.Д.;Яблоня.;Л.;1972;78;13;ил.;
922;Ярославцев Е.И.;Малина и ежевика.;М.;1991;64;13;ил.;
923;Беляев А.А., Белых А.М., Гончарова Л.А.;Вредители и болезни малины в Сибири. В помощь садоводам.;Новосибирск;1997;36;13;14 ил.;
924;Тюрина Е.В., Гуськова И.Н., Шохина Н.К.;Пряно-вкусовые растения.;Новосибирск;1977;80;13;;
925;Сост. Барсуков Н.И.;Садоводство в Западной Сибири.;Новосибирск;1967;208;13;;
926;Машьянова Г.К., Шушакова Г.П., Аферина А.Е., Анкудинова З.И.;Все о картофеле.;Новосибирск;1991;160;13;23 ил.;
927;Ушаков В.П.;"Сибирская ""фазенда"". Советы огороднику.";Кемерово;1990;48;13;;
928;Коровин А.И., Коровина О.Н.;Погода, огород и сад любителя.;Л.;1990;232;13;ил.;
929;Грознов С., Никашин Ф.;Мясные блюда.;М.;1958;264;13;;
930;;Черника.Брусника.;М.;1996;208;13;;
931;;Яблоки.;М.;1996;208;13;;
932;;Груша. Айва.;М.;1996;208;13;;
933;;Абрикос, Персик.;М.;1996;208;13;;
934;;Малина, Ежевика.;М.;1996;208;13;;
935;;Клубника. Земляника.;М.;1996;208;13;;
936;;Вишня. Черешня.;М.;1996;208;13;;
937;;Смородина.;М.;1996;208;13;;
938;Головков А.Э.;Разносолы деревнской кухни.;Одесса;1992;240;13;;
939;;Блюда из овощей. Консервирование. Салаты.;Новосибирск;1991;148;13;;
940;Курдюмов Н.И.;Умный огород в деталях.;Краснодар;2001;224;13;;
941;Курдюмов Н.И.;Формировка вместо обрезки.;Ростов н/Д.;2003;288;13;;
942;;Сделай САМ. №4. 1996.;М.;1996;96;13;;
943;Шрам В.Е.;Навстречу природе.;Новосибирск;1980;120;13;ил.;
944;Ефремов И.А.;Дорога ветров. ( Гобийские заметки).;М.;1958;360;14;ил.;
945;Гоголь Н.В.;Избранные повести.;М.;1985;528;14;ил.;
946;Гоголь Н.В.;Собрание сочинений. Том 3. Повести.;М.;1949;252;14;ил.;
947;Дефо Д.;Жизнь и приключения Робинзона Крузо.;М.;1979;304;14;;
948;Ханке Х.;Люди. Корабли, Океаны.;М.;1984;448;14;;
949;Твен М.;Жизнь на Миссисипи.;Петрозаводск;1960;352;14;ил.;
950;Твен М.;Избранное.;М.;1958;562;14;ил.;
951;Лукьяненко С., Васильев В.;Дневной Дозор:[ фантаст. роман].;М.;2006;380;14;;
952;Волошина П. при участии Кулькова Е.;Маруся.;М.;2009;264;14;;
953;Хайфилд Р.;"""Гарри Поттер"" и наука: Настоящие волшебство. Пер. с англ.";Екатеринобург;2006;448;14;;
954;Колберт Д.;Гарри Поттер. Волшебные миры. Пер. с англ.;М.;2002;166;14;;
955;Каст Ф.К. и Каст Кристин;Меченая. Пер. с англ.;М.;2010;480;14;;
956;Каст Ф.К. и Каст Кристин;Обманутая. Пер. с англ.;М.;2009;480;14;;
957;Гоголь Н.В.;Мертвые души. Миргород. Вечера на хуторе близ Диканьки.;М.;2004;600;14;ил.;
958;Якуч Л.;В подземном царстве.;М.;1963;272;14;ил.;
959;Ефремов И.;Лезвие бритвы. Роман приключений. Рассказ.;Челябинск;1992;672;14;;
960;Мамин-Сибиряк Д.Н.;Приваловские миллионы. Роман в пяти частях.;М.;1956;468;14;есть надписи.;
961;;Сказки русских писателей.;М.;1998;544;14;;
962;Кузнецова А.А.;Земной поклон: Повесть.;М.;1985;190;14;ил.;
963;Твардовский А.Т.;Василий Теркин. Поэмы, стихотворения.;М.;2004;400;14;;
964;Бобев Петр.;Белый лоцман.;София;1962;124;14;;
965;Перельман Я.И.;Знаете ли вы физику?;М.;2007;382;14;ил.;
966;Сапковский А.;Последнее желание. [ фантаст. роман];М.;2008;318;14;;
967;Сапковский А.;Меч Предназначения: [фантаст. роман].;М.;2008;382;14;;
968;Сапковский А.;Владычица Озера: [фантаст. роман]. Дорога без возврата:[фантаст. повести].;М.;2009;668;14;;
969;Каку М.;Физика невозможного. Пер. с англ.;М.;2009;456;14;;
970;;Тени Чернобыля. Фантастические произведения.;М.;2007;448;14;;
971;Хайям Омар.;Сад желаний: Рубаи.;Спб.;2004;304;14;;
972;Семенова М., Тедеев Д.;Бусый волк: Берестяная книга: Роман.;Спб.;2009;320;14;;
973;Лукьяненко С.В.;Недотепа: [фантаст. роман].;М.;2009;510;14;;
974;Акунин Б.;Ф.М. Роман. Т. 1.;М.;2008;384;14;;
975;Акунин Б.;Ф.М.Роман. Т. 2.;М.;2006;320;14;;
976;Акунин Б.;Весь мир театр: роман.;М.;2010;432;14;ил.;
977;Бэггет Д., Клейн Ш.Э.;Философия Гарри Поттера: Если бы Аристотель учился в Хогвартсе.;Спб.;2005;432;14;;
978;Гоголь Н.В.;Собрание сочинений в 6 томах. Т.1. Вечера на хуторе близ Диканьки.;М.;1950;328;14;;
979;Гоголь Н.В.;Собрание сочинений в 6 томах. Т. 2. Миргород.;М.;1949;248;14;;
980;Гоголь Н.В.;Собрание сочинений в 6 томах. Т. 4. Драматические произведения.;М.;1949;350;14;;
981;Гоголь Н.В.;Собрание сочинений в 6 томах. Т. 5. Мертвые души.;М.;1949;430;14;;
982;;Словарь иностранных слов.;М.;1954;856;14;;
983;Конан-Дойл А.;Красным по белому. Рассказы о Шерлоке Холмсе.;М.;1968;496;14;;
984;Ефремов И.А.;Юрта ворона.;М.;1960;286;14;;
985;Ефремов И.А.;На краю Ойкумены. Звездные корабли.;М.;1959;448;14;;
986;Ефремов И.А.;Туманность Андромеды. Роман.;М.;1962;368;14;;
987;Ефремов И.А.;Бухта радужных струй. Научно-фантастические рассказы.;М.;1959;312;14;;
988;Блок А.;Сочинения в двух томах. Т. 1. Стихотворения. Поэмы. Театр.;М.;1955;816;14;;
989;Блок А.;Сочинения в двух томах. Т. 2.;М.;1955;848;14;;
990;Шалыгин В.В.;Обратный отчет: Фантастический роман.;М.;2008;352;14;;
991;Сапковский А.;Кровь эльфов. Час Презрения: [ фантаст. романы].;М.;2009;638;14;;
992;Гаррисон Г.;Стальная Крыса: Рождение: Фантастические произведения.;М.;2008;768;14;;
993;Претор-Пинней Г.;Занимательное облаковедение. Учебник любителя облаков. Пер. с англ.;М.;2007;392;14;;
994;Сапковский А.;Крещение огнем. Башня Ласточки: [фантаст. романы].;М.;2008;614;14;;
995;Лермонтов М.Ю.;Собрание сочинений в четырех томах. Т. 1. Стихотворения.;М.;1957;428;14;;
996;Лермонтов М.Ю.;Собрание сочинений в четырех томах. Т. 2. Поэмы и повести в стихах.;М.;1958;528;14;;
997;Лермонтов М.Ю.;Собрание сочинений в четырех томах. Т. 3. Драмы.;М.;1958;504;14;;
998;Лермонтов М.Ю.;Собрание сочинений в четырех томах. Т.4. Проза. Письма.;М.;1958;596;14;;
999;Лермонтов М.Ю.;Полное собрание сочинений. Т. 4. Проза.;М.;1953;512;14;;
1000;Грибоедов А.С.;Сочинения. Избранное.;М.;1986;432;14;ил.;
1001;Верн Ж.;Таинственный остров: Роман.;Мн.;1984;544;14;ил.;
1002;Пушкин А.С.;Евгений Онегин. Роман в стихах.;М.;1984;256;14;ил.;
1003;Саймон Тофилд;Кот Саймона.;Екатеринбург;2011;;14;;
1004;Песков В.М.;Лесные глаза.;М.;1979;256;14;;
1005;Акунин Б.;Алтын-толобас: Роман.;Спб.;2002;384;14;;
1006;Кашук Л.А.;Язык любви. Любовная открытка XX века.;М.;2009;224;14;ил.;
1007;Гранже Ж.-К.;Пурпурные реки: Роман.;Спб.;2010;352;14;;
1008;Флеминг Й.;На секретной службе Её величества: Детективный роман.;М.;2008;352;14;;
1009;Гранже Ж.-К.;Братство камня: Роман. Пер. с фран.;Спб.;2010;320;14;;
1010;Злотников Р.В.;Обреченный на бой: Фантстический роман.;М.;2008;476;14;ил.;
1011;Семёнова М., Разумовский Ф.;"Ошибка ""2012"". Джокер: Роман.";Спб.;2009;384;14;;
1012;Басё М.;По тропинкам Севера. Пер. с япон.;Спб.;2007;288;14;;
1013;Лукьяненко С.В.;Ночной Дозор:[фантаст. роман].;М.;2006;382;14;;
1014;Беляев А.;Властелин мира. Остров погибших кораблей. Звезда КЭЦ. Чудесное око.;Горький;1958;672;14;;
1015;Юзефович Л.;Самодержец пустыни: барон Р.Ф. Унгерн-Штернберг и мир, в котором он жил.;М.;2010;672;14;фотографии;
1016;Федосюк Ю.А.;Что непонятно у классиков, или Энциклопедия русского быта XIX века. 11-е изд.;М.;2010;264;14;;
1017;Миронов В.А.;Двенадцать месяцев года.;М.;1991;176;14;ил.;
1018;Гогун А.;Сталинские коммандос. Украинские партизанские формирования. Малоизученные страницы истории. 1941 - 1944.;М.;2008;478;14;;
1019;Венков А.В.;Азовское сидение. Героическая оборона Азова в 1637 - 1642 гг.;М.;2009;320;14;ил.;
1020;Горбылев А.М.;Ниндзя: боевое искусство.;М.;2010;480;14;ил.;
1021;Хескет-Притчард Х.;Снайперы Первой Мировой. Пер. с англ.;М.;2010;288;14;;
1022;Павлов В.;ТФП:тайное физическое проникновение на иностранные объекты: Внедрение, подставы, перевербовка.;М.;2010;480;14;;
1023;Веллер М., Буровский А.;Гражданская история безумной войны.;М.;2010;640;14;;
1024;Умнякова Н.П.;Как сделать дом теплым: Справ. пособие. - 2-е изд., перераб., и доп.;М.;1996;368;14;ил.;
1025;Риб Р.Д.;Пакетное пчеловодство.;М.;2010;286;14;;
1026;Гайнанов Х.С., Гайнанов И.Н.;Повышение продуктивности пчел.;Ростов н/Д.;2008;318;14;ил.;
1027;Бим И.Л.;Шаги 36 Учебник немецкого языка для 7 класса;М.;2004;272;14;ил.;
1028;Мордкович А.Г.;Алгебра. 9 класс. В 2 ч. Ч 1. 9-е изд.;М.;2007;232;14;ил.;
1029;Мордкович А.Г.;Алгебра. 9 класс. В 2 ч. Ч2. 9-е изд.;М.;2007;152;14;ил.;
1030;Выготский М.Я.;Справочник по элементарной математике.;М.;1969;416;14;ил.;
1031;Толкиен Дж. Р.Р.;Властелин Колец. Трилогия. Т. 1. Хранители Кольца. Пер. с англ.;М.;2009;574;14;;
1032;Толкиен Дж.Р.Р.;Властелин Колец. Трилогия. Т. 2. Две твердыни. Пер. с англ.;М.;2009;478;14;;
1033;Толкиен Дж. Р.Р.;Властелин Колец. Трилогия. Т. 3. Возвращение короля. Пер. с англ.;М.;2009;444;14;;
1034;Ларссон С.;Девушка. Которая играла с огнем. Роман. Пер. со шведск.;М.;2010;720;14;;
1035;Колфер Й.;Артемис Фаул. Парадокс времени. Фантастический роман. Пер. с англ.;М.;2009;544;14;;
1036;Выгодский М.Я.;Справочник по элементарной математике.;М.;1976;336;14;ил.;
1037;Двайт Г.Б.;Таблицы интегралов и другие математические формулы. 10-изд.;Спб.;2009;232;14;;
1038;Гладков К.А.;Энергия атома.;М.;1968;448;14;;
1039;Ваховский Е.Б., Рывкин А.А.;Задачи по элементарной математике повышенной трудности.;М.;1971;360;14;ил.;
1040;Гурский И.П.;Элементарная физика с примерами решения задач.;М.;1973;368;14;ил.;
1041;Аргунов Б.И., Балк М.Б.;Элементарная геометрия.;М.;1966;368;14;;
1042;Милковская Л.Б.;Повторим физику. Изд. 3-е, перераб. и доп.;М.;1977;440;14;ил.;
1043;Баканина Л.П., Белонучкин В.Е., Козел С.М., Колачевский Н.Н., Косоуров Г.И., Мазанько И.П.;Сборник задач по физике.;М.;1970;416;14;ил.;
1044;Смирнов В.И.;Курс высшей математики. Т. 1.;М.;1974;480;14;ил.;
1045;Фихтенгольц Г.М.;Основы математического анализа. Т. 1.;М.;1964;440;14;ил.;
1046;Савельев И.В.;Курс общей физики. Т. 3. Оптика, атомная физика, физика атомного ядра и элементарных частиц.;М.;1971;528;14;ил.;
1047;Эшворт М.Р.Ф.;Титриметрические методы анализа органических соединений. Методы прямого титрования.;М.;1968;556;14;;
1048;Фьюзон Р.;Реакции органических соединений. Повышенный курс для студентов.;М.;1966;648;14;;
1049;Крешков А.П.;Основы аналитической химии. Теоретические основы. Качественный анализ. Кн. 1. Изд. 4-е, перераб.;М.;1976;472;14;;
1050;Никитин А.;Хождение за три моря: с приложением описания путешествий других купцов и промышленных людей в Средние века.;М.;2009;480;14;ил.;
1051;Кустов М.В.;Цена Победы в рублях.;М.;2010;320;14;;
1052;Долгов В.В., Савинов М.А.;Храбры Древней Руси. Русские дружины в бою.;М.;2010;384;14;;
